,fg_pct_home,fg3_pct_home,ft_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pf_home,fg_pct_away,fg3_pct_away,ft_pct_away,oreb_away,dreb_away,ast_away,stl_away,blk_away,tov_away,pf_away
49733,0.36,0.231,0.8,19.0,31.0,19.0,4.0,10.0,11.0,23.0,0.432,0.375,0.71,5.0,32.0,16.0,5.0,7.0,12.0,27.0
48694,0.456,0.333,0.75,11.0,27.0,30.0,8.0,1.0,11.0,19.0,0.518,0.286,0.739,10.0,34.0,28.0,6.0,7.0,16.0,15.0
38626,0.471,0.222,0.826,11.0,28.0,21.0,8.0,6.0,19.0,23.0,0.494,0.4,0.895,10.0,31.0,30.0,11.0,7.0,14.0,24.0
58393,0.452,0.231,0.778,4.0,44.0,24.0,3.0,5.0,10.0,19.0,0.436,0.263,0.857,9.0,42.0,24.0,6.0,7.0,7.0,24.0
51581,0.457,0.556,0.75,14.0,35.0,20.0,8.0,4.0,16.0,29.0,0.42,0.4,0.649,9.0,24.0,11.0,6.0,7.0,17.0,24.0
52520,0.451,0.25,0.708,17.0,41.0,25.0,6.0,2.0,12.0,23.0,0.375,0.278,0.733,12.0,32.0,22.0,8.0,3.0,10.0,20.0
47623,0.585,0.267,0.875,8.0,36.0,27.0,11.0,2.0,14.0,20.0,0.475,0.5,0.793,7.0,19.0,21.0,11.0,2.0,14.0,24.0
52142,0.392,0.35,0.556,19.0,29.0,18.0,10.0,6.0,10.0,24.0,0.5,0.333,0.727,13.0,37.0,20.0,6.0,7.0,17.0,21.0
52619,0.439,0.214,0.731,10.0,42.0,15.0,3.0,4.0,11.0,20.0,0.396,0.242,0.857,10.0,33.0,26.0,5.0,3.0,6.0,22.0
40893,0.529,0.333,0.714,4.0,29.0,24.0,10.0,5.0,12.0,21.0,0.459,0.25,0.952,8.0,26.0,11.0,6.0,7.0,16.0,22.0
39976,0.434,0.444,0.722,14.0,27.0,20.0,6.0,11.0,13.0,22.0,0.333,0.389,0.792,16.0,26.0,11.0,4.0,3.0,16.0,24.0
60816,0.466,0.4,0.8,9.0,32.0,23.0,4.0,5.0,13.0,22.0,0.494,0.424,0.667,10.0,30.0,28.0,7.0,6.0,9.0,18.0
