fg_pct_away,fg3_pct_away,ft_pct_away,oreb_away,dreb_away,ast_away,stl_away,blk_away,tov_away,pf_away
0.432,0.375,0.71,5.0,32.0,16.0,5.0,7.0,12.0,27.0
0.518,0.286,0.739,10.0,34.0,28.0,6.0,7.0,16.0,15.0
0.494,0.4,0.895,10.0,31.0,30.0,11.0,7.0,14.0,24.0
0.436,0.263,0.857,9.0,42.0,24.0,6.0,7.0,7.0,24.0
0.42,0.4,0.649,9.0,24.0,11.0,6.0,7.0,17.0,24.0
0.375,0.278,0.733,12.0,32.0,22.0,8.0,3.0,10.0,20.0
0.475,0.5,0.793,7.0,19.0,21.0,11.0,2.0,14.0,24.0
0.5,0.333,0.727,13.0,37.0,20.0,6.0,7.0,17.0,21.0
0.396,0.242,0.857,10.0,33.0,26.0,5.0,3.0,6.0,22.0
0.459,0.25,0.952,8.0,26.0,11.0,6.0,7.0,16.0,22.0
0.333,0.389,0.792,16.0,26.0,11.0,4.0,3.0,16.0,24.0
0.494,0.424,0.667,10.0,30.0,28.0,7.0,6.0,9.0,18.0
0.461,0.348,0.821,10.0,35.0,20.0,8.0,1.0,14.0,20.0
0.525,0.579,0.875,12.0,35.0,20.0,11.0,7.0,8.0,21.0
0.418,0.25,0.85,5.0,32.0,19.0,6.0,5.0,19.0,26.0
0.439,0.385,0.889,8.0,36.0,20.0,6.0,6.0,16.0,17.0
0.388,0.2,0.692,10.0,31.0,18.0,4.0,3.0,14.0,18.0
0.402,0.29,0.773,5.0,47.0,23.0,9.0,4.0,15.0,9.0
0.436,0.571,0.789,10.0,37.0,15.0,7.0,5.0,21.0,15.0
0.479,0.417,0.705,10.0,30.0,21.0,7.0,2.0,9.0,21.0
0.424,0.333,0.864,18.0,26.0,18.0,3.0,3.0,16.0,16.0
0.408,0.385,0.667,12.0,38.0,22.0,3.0,3.0,13.0,15.0
0.463,0.471,0.765,12.0,30.0,20.0,8.0,6.0,12.0,17.0
0.5,0.5,0.882,8.0,31.0,21.0,13.0,5.0,21.0,19.0
0.517,0.5,0.727,12.0,32.0,25.0,8.0,9.0,14.0,21.0
0.5,0.45,0.794,9.0,35.0,27.0,6.0,8.0,16.0,27.0
0.37,0.233,0.727,22.0,26.0,13.0,1.0,3.0,10.0,26.0
0.529,0.5,0.806,2.0,29.0,24.0,8.0,5.0,16.0,13.0
0.471,0.375,0.696,7.0,25.0,29.0,13.0,4.0,13.0,30.0
0.519,0.5,0.538,11.0,25.0,22.0,4.0,6.0,20.0,18.0
0.459,0.182,0.65,14.0,34.0,16.0,14.0,5.0,22.0,23.0
0.4,0.353,0.71,12.0,30.0,19.0,7.0,7.0,11.0,22.0
0.513,0.5,0.862,12.0,27.0,21.0,6.0,1.0,14.0,23.0
0.474,0.474,0.769,6.0,24.0,19.0,8.0,8.0,13.0,20.0
0.43,0.296,0.774,17.0,29.0,23.0,12.0,3.0,24.0,20.0
0.481,0.462,0.842,15.0,34.0,22.0,5.0,2.0,21.0,17.0
0.481,0.368,0.538,13.0,32.0,28.0,14.0,5.0,9.0,22.0
0.411,0.292,0.6,10.0,32.0,17.0,6.0,3.0,8.0,20.0
0.302,0.125,0.808,21.0,28.0,14.0,6.0,3.0,16.0,29.0
0.42,0.381,0.813,19.0,27.0,22.0,6.0,3.0,12.0,24.0
0.416,0.19,0.714,10.0,36.0,18.0,7.0,9.0,20.0,18.0
0.43,0.4,0.833,13.0,27.0,21.0,12.0,2.0,14.0,18.0
