fg_pct_home,fg3_pct_home,ft_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pf_home
0.36,0.231,0.8,19.0,31.0,19.0,4.0,10.0,11.0,23.0
0.456,0.333,0.75,11.0,27.0,30.0,8.0,1.0,11.0,19.0
0.471,0.222,0.826,11.0,28.0,21.0,8.0,6.0,19.0,23.0
0.452,0.231,0.778,4.0,44.0,24.0,3.0,5.0,10.0,19.0
0.457,0.556,0.75,14.0,35.0,20.0,8.0,4.0,16.0,29.0
0.451,0.25,0.708,17.0,41.0,25.0,6.0,2.0,12.0,23.0
0.585,0.267,0.875,8.0,36.0,27.0,11.0,2.0,14.0,20.0
0.392,0.35,0.556,19.0,29.0,18.0,10.0,6.0,10.0,24.0
0.439,0.214,0.731,10.0,42.0,15.0,3.0,4.0,11.0,20.0
0.529,0.333,0.714,4.0,29.0,24.0,10.0,5.0,12.0,21.0
0.434,0.444,0.722,14.0,27.0,20.0,6.0,11.0,13.0,22.0
0.466,0.4,0.8,9.0,32.0,23.0,4.0,5.0,13.0,22.0
0.477,0.35,0.677,3.0,29.0,17.0,8.0,4.0,15.0,22.0
0.42,0.421,0.696,16.0,22.0,15.0,4.0,2.0,11.0,18.0
0.488,0.4,0.879,6.0,36.0,22.0,12.0,2.0,13.0,18.0
0.488,0.471,0.85,7.0,35.0,26.0,14.0,6.0,7.0,17.0
0.461,0.429,0.762,10.0,34.0,24.0,11.0,10.0,11.0,16.0
0.354,0.262,0.75,16.0,42.0,23.0,10.0,5.0,19.0,19.0
0.413,0.364,0.875,7.0,29.0,17.0,12.0,12.0,13.0,15.0
0.494,0.385,0.72,12.0,30.0,26.0,3.0,3.0,15.0,30.0
0.437,0.357,0.933,14.0,27.0,23.0,7.0,5.0,13.0,21.0
0.387,0.368,0.714,19.0,34.0,27.0,5.0,0.0,6.0,19.0
0.402,0.222,0.75,14.0,26.0,17.0,6.0,4.0,16.0,16.0
0.361,0.36,0.826,15.0,26.0,23.0,12.0,7.0,18.0,24.0
0.39,0.056,0.852,24.0,28.0,18.0,11.0,8.0,14.0,17.0
0.483,0.5,0.606,10.0,35.0,29.0,7.0,8.0,22.0,27.0
0.518,0.444,0.839,12.0,33.0,16.0,6.0,6.0,8.0,26.0
0.46,0.345,0.75,12.0,27.0,23.0,9.0,1.0,16.0,23.0
0.481,0.375,0.829,17.0,37.0,28.0,7.0,9.0,22.0,22.0
0.542,0.5,0.765,8.0,29.0,33.0,9.0,3.0,14.0,15.0
0.4,0.333,0.867,18.0,34.0,23.0,14.0,9.0,20.0,26.0
0.486,0.444,0.727,6.0,32.0,20.0,7.0,4.0,11.0,24.0
0.474,0.444,0.72,12.0,23.0,17.0,8.0,3.0,13.0,28.0
0.5,0.267,0.769,12.0,31.0,22.0,7.0,8.0,11.0,14.0
0.54,0.481,0.762,11.0,28.0,26.0,16.0,2.0,19.0,21.0
0.513,0.52,0.7,3.0,25.0,27.0,8.0,7.0,17.0,22.0
0.46,0.421,0.903,10.0,41.0,26.0,5.0,4.0,15.0,12.0
0.5,0.424,0.8,7.0,42.0,25.0,4.0,6.0,14.0,21.0
0.446,0.353,0.585,8.0,31.0,19.0,7.0,5.0,13.0,23.0
0.541,0.111,0.643,4.0,28.0,23.0,4.0,7.0,14.0,30.0
0.37,0.211,0.611,8.0,32.0,24.0,7.0,3.0,14.0,19.0
0.532,0.5,0.7,8.0,32.0,23.0,6.0,5.0,13.0,17.0
0.481,0.538,0.789,13.0,28.0,23.0,8.0,2.0,10.0,17.0
0.453,0.423,0.8,4.0,32.0,23.0,6.0,6.0,9.0,15.0
0.43,0.417,0.667,10.0,27.0,24.0,8.0,8.0,18.0,19.0
