,plus_minus_home
49733,2
48694,-9
38626,-6
58393,-2
51581,15
52520,11
47623,22
52142,-11
52619,-4
40893,7
39976,7
60816,-10
42226,-11
53112,-24
60542,36
55835,11
48565,16
57993,-6
48827,-3
45180,-8
50962,-3
45539,10
51672,-15
41688,-7
42329,-17
61264,-4
57633,21
53249,-5
42217,9
49032,16
50987,5
60560,6
52404,-8
53904,11
59863,17
37398,-2
63468,3
60520,18
41019,12
38294,-9
54306,-8
38833,15
39999,12
60396,-9
38127,-10
63055,-15
53268,-2
47312,17
65079,9
42675,-15
43163,21
43267,-4
51330,12
55639,8
46535,19
63353,-12
42011,-4
55972,-7
49964,3
64366,14
41760,-4
58423,6
61816,7
38748,-2
47205,16
57533,-8
39477,9
64806,21
52964,18
52878,10
53595,17
44287,-21
65344,18
36449,-8
55001,20
55146,-16
56437,38
47620,9
47516,-4
64684,-27
56948,-2
59860,-4
36064,6
44115,10
61597,3
44448,21
56503,-2
57998,17
54255,-12
57211,-7
61997,11
45447,13
43892,-11
40145,11
42698,32
55436,14
52667,7
64682,6
45574,-6
44401,-6
37318,-25
52106,-7
47489,18
62609,9
46801,-17
55602,3
47174,19
41067,21
63914,-30
48634,-1
56845,3
51911,-2
42182,7
64920,8
63988,-5
59616,-24
48343,-12
62076,-22
41597,-7
39840,3
42578,-2
38374,-21
37303,11
55573,15
50836,-6
58619,22
65693,-15
54337,10
48750,2
47176,-3
36709,12
49122,6
62136,-11
53706,4
53087,-12
62199,-30
52996,-13
63744,30
36853,-7
46973,9
63495,3
46255,-1
59683,-8
38143,5
65074,17
57305,10
39255,5
61518,-20
45660,-20
64003,18
56411,-6
43228,11
37288,-14
59573,-31
47441,7
59687,6
54145,20
39431,35
40115,-7
41683,10
48604,6
63504,8
60270,12
58135,3
58025,13
58690,7
36498,-3
41250,-13
62531,-10
39576,-11
50524,-6
64773,-10
59759,-2
43791,9
38376,2
51464,-2
59505,-12
58979,17
49029,-2
53557,11
63973,3
64564,8
46130,14
50463,15
44833,-9
62891,3
46582,-10
44458,-21
53788,16
60708,10
37053,-2
42427,8
50451,-2
65309,-1
55425,12
50997,-10
52474,-8
39664,-4
55717,-23
53648,12
57855,-33
47706,7
55852,-3
41811,-7
43944,18
48245,14
55056,-11
62862,11
46905,12
50198,1
63346,-3
37986,4
43589,-10
57827,-27
38044,-5
55426,-5
59247,-8
55136,-12
57029,9
48848,17
36457,-1
36692,5
64017,21
57923,18
50960,35
60917,-2
63592,-2
58373,14
60929,-11
64531,8
55846,-23
36742,1
50932,19
58718,9
43552,-5
46979,4
48675,-7
47587,-3
48913,-20
65100,-8
61480,-9
62252,8
46339,-3
48651,-10
56624,-6
44561,10
45172,4
50959,15
58421,18
42484,7
56532,26
45152,-11
54257,12
56390,-27
36376,18
59333,-12
50979,-5
38416,7
62133,3
62352,-33
52364,19
63850,1
50401,-23
61880,17
47675,-6
42533,-13
58802,8
40291,3
39956,-1
39749,1
37265,12
50983,-12
56871,30
36679,11
40750,4
51043,-9
42707,7
48012,-14
55378,3
38731,1
63740,-18
51373,9
41178,-5
45785,1
56379,-16
63033,2
40867,10
46755,-26
49462,3
40030,-3
40311,-8
61323,8
39425,11
55382,-12
64895,9
60519,3
39678,20
62846,-2
57215,6
52578,-6
39566,30
46598,-8
42937,11
64637,-1
55065,24
56767,-8
38660,10
63293,10
39331,5
38682,2
55586,3
53814,-6
38365,-24
44307,-11
40738,-12
60159,8
62204,-17
54282,30
55769,-3
54438,12
37933,19
54590,-7
51314,6
42795,-4
39466,11
62033,-17
51644,7
62241,-10
38923,12
58443,-16
50620,-10
48735,7
41864,-6
48464,6
57107,25
39321,2
55519,23
44892,-21
64991,-10
59420,18
41469,15
44806,20
57840,19
46817,-12
52425,1
50610,-11
47064,8
36657,-2
47370,-9
53578,35
40550,-11
46734,-25
45718,-4
42467,3
56534,15
47490,-1
46521,25
60637,7
37272,-22
36572,-7
63377,-5
58771,17
41895,9
50370,26
58303,18
59297,21
52499,-16
58177,-12
38906,5
46330,3
43708,15
43057,18
41850,1
62590,13
60522,-8
60767,5
56513,-7
57943,15
54793,11
61149,-15
49969,-6
36216,22
65368,14
51276,-4
57868,5
38974,4
64764,26
42306,3
60794,-7
55323,20
62368,-5
52363,6
52865,9
38563,3
39191,21
60761,-29
48258,-7
65623,13
64790,-11
55726,18
47714,7
58956,-11
59306,-18
37616,-16
37391,9
65220,-9
46936,8
51302,-4
41119,29
39267,-6
51254,-14
36306,17
50235,13
59368,-4
63950,-10
53704,-12
59486,-12
58159,12
47941,26
61879,10
63056,-6
61415,3
41560,4
64715,1
47114,7
58212,13
61188,11
43854,27
52797,29
47223,7
38169,7
49493,-7
43138,34
36124,27
63656,16
60198,5
51124,-6
39288,-2
46127,11
41003,10
48725,24
65652,-19
63235,22
58457,3
61969,-7
55587,3
59562,-20
41405,-3
54508,9
49619,2
49976,5
37872,-2
45904,11
59471,19
51281,-5
64079,-13
39063,1
57093,35
42761,-8
37274,4
50191,2
46665,-12
44494,16
49951,15
65182,10
36465,27
54485,-11
58130,-2
47005,-2
54144,5
47899,-8
59532,-11
63167,3
36850,3
50379,-19
49030,-10
39385,14
53233,-31
46136,16
53894,5
39169,8
48353,3
53075,8
59320,7
64752,-10
47219,6
42082,-1
65021,5
57924,5
36755,19
39263,6
62314,4
42100,29
56214,-1
53186,-1
54567,3
37971,5
63441,-9
64718,20
46785,15
39632,9
58561,12
58804,-3
53550,11
38652,-7
46227,10
60327,-21
47569,-26
42440,2
39172,8
47708,-23
63154,12
50243,-7
56101,8
56233,-14
45864,-14
57438,-2
37889,-6
52408,1
47659,-5
38230,22
50537,25
58980,-7
37340,7
44095,11
55763,7
38825,7
59803,23
60641,6
64608,14
47405,17
54563,11
60779,24
64632,8
49058,16
54719,5
45640,-16
48256,-2
52135,-12
54135,14
51449,19
63927,8
60687,-4
53064,24
41211,-9
48840,-20
57431,-3
61276,7
52441,9
57571,6
56585,-27
59474,7
37485,4
63760,12
42963,28
41913,13
47527,10
56955,-20
41976,14
37875,9
57649,1
48418,-12
58005,-16
52899,13
49000,8
61687,-3
49678,22
37514,-9
55965,-19
39277,-20
60736,9
37067,-10
39603,-19
43218,-2
37215,3
59305,1
53749,4
59335,-20
58736,-17
62540,2
59431,16
45432,13
62699,7
58538,-24
51139,21
54250,4
56967,-12
37238,-26
49703,33
53717,-8
40623,7
52713,-12
57976,-22
45142,-18
52318,-7
42918,-11
36595,11
63336,6
59629,-17
58178,11
54971,-6
61036,1
42528,22
62235,-33
37247,-5
49922,20
52101,2
47903,29
51919,-3
46904,15
39894,5
54507,5
39786,-2
56138,-20
40228,-5
44410,-2
46568,4
57080,20
45419,-7
59572,-12
44109,19
39393,19
56573,-11
43519,16
42553,16
62088,14
61303,21
48583,8
37614,20
62782,16
60823,11
60505,-5
40265,22
48807,9
64803,20
65415,37
36452,-1
36861,-8
55565,1
41138,5
36662,-22
43803,9
36785,-10
39124,5
62147,-7
50334,4
63701,5
49148,17
44663,-1
39332,21
64086,5
48186,4
43376,4
63560,-7
46032,13
38207,1
50844,-2
61246,-11
37626,8
56131,6
45968,8
53908,20
53613,12
39182,-1
54747,-25
53681,-5
43553,1
64998,-11
44054,-10
55919,-19
58910,-13
53776,-12
37329,14
43445,11
49598,4
63754,-25
41147,-8
44377,-2
61286,14
56880,-1
52703,-10
53982,16
60683,-16
56664,21
44064,1
54459,8
38280,-10
40247,-10
39893,4
42892,26
46821,11
58795,-7
39746,-9
62297,16
38615,18
61954,-16
57159,46
37380,27
62174,-3
51811,-18
56608,7
51433,1
54446,-11
64704,-4
64856,15
60653,-7
53599,16
60818,17
61015,-8
56094,9
40818,15
61799,-21
37849,-2
50045,-10
49194,-8
56242,-2
45291,-6
61701,-6
63384,-3
43922,9
50627,-2
47704,3
49766,-9
65264,18
49037,-3
61749,-51
51472,-5
41164,5
57100,1
36385,-9
36497,18
45969,-28
61369,7
39538,-9
55779,-26
53172,-8
47570,-10
64527,-3
52451,-21
41863,-9
42946,-2
48559,25
47183,15
62064,-8
41234,33
61066,26
64502,12
64796,-3
37746,12
64794,-1
64250,1
63732,-3
51249,-15
57981,9
44889,18
64145,10
42485,3
59820,-7
50252,-6
40198,23
62040,5
54689,14
62160,32
37316,5
42335,13
36761,4
47901,-2
42490,14
54816,5
42770,4
65635,10
42258,-18
56431,27
41053,7
46165,8
55534,-12
46889,7
62944,-9
41243,12
64988,23
38315,16
42075,5
39743,13
63747,26
45944,-20
45970,-4
37371,28
56789,-7
61331,-6
45607,-16
42337,-2
44376,21
48942,11
39492,7
48764,9
37613,3
52532,-2
56527,20
48766,23
63636,10
60306,6
39209,11
45619,-6
59979,37
45257,5
58496,18
38116,12
51561,-3
51207,-8
48722,-7
65144,-9
59354,18
40302,4
51022,12
42994,-9
53279,-13
61921,-7
39702,-13
36298,5
60783,7
38244,-2
44657,8
52256,15
47375,-12
46083,12
48657,15
64025,13
48067,8
54148,15
55494,-6
61803,10
47328,7
60763,2
41975,21
40706,18
42348,-6
58630,-32
41632,-16
58919,14
62477,19
36525,16
53309,23
36400,4
39779,14
55853,-5
52739,-14
49067,-16
48063,-17
53005,9
40856,8
57063,35
46718,-20
53772,34
38571,14
61598,-9
62343,6
41754,10
62485,17
48027,10
63769,27
45123,6
38494,7
51229,-7
55855,13
50480,3
64236,28
55314,-3
51750,1
43991,-7
64919,-20
40880,10
39656,16
51485,-12
42168,-8
46918,32
36877,-3
54662,-2
39610,22
52779,-6
42749,3
56043,7
65357,17
51021,14
41552,15
54694,23
36807,-12
50566,-21
36844,10
58042,8
43853,12
36375,-8
53507,-2
63202,-7
38722,23
53381,-16
46173,10
50845,3
58003,5
57905,2
39733,11
37718,8
38593,-6
37102,7
39413,19
43816,-6
45438,-4
44394,-6
54757,-3
56142,-7
36082,9
58826,-5
52193,3
58529,6
38008,4
65639,-8
55441,-1
39257,25
56419,-1
40072,25
56474,3
37740,18
47165,17
62273,23
56629,12
39298,-5
38967,-15
60757,-14
44341,2
40614,-5
57909,4
56906,19
36782,-5
61900,-5
49043,-15
38095,-16
40982,6
43815,-3
62198,-3
58311,-2
63148,12
56373,11
38589,9
45325,-2
56000,-7
42184,-1
36142,-14
65132,14
45712,18
36174,5
42434,-21
57622,-13
43152,-4
36263,-10
37869,27
61684,-9
38869,3
42227,40
49923,5
39527,3
63542,-19
54109,22
37985,8
45224,-8
63442,-18
44075,-8
64353,5
42003,-10
40766,-11
59679,-2
46505,26
46524,16
55625,8
55301,-17
64911,-4
47211,1
58074,-6
53782,3
58886,8
45167,-12
46873,5
45241,13
36280,-19
38054,-1
50638,11
42132,-3
41144,12
51787,-5
58242,-11
58210,47
47543,-24
38489,23
42143,-3
51164,6
37540,-6
62622,7
48131,-8
58741,23
42969,-9
38777,8
44615,33
40897,-4
62080,6
60665,-6
50332,11
41090,3
48887,29
60109,-9
38529,-17
48939,-11
64534,5
39372,-2
45098,4
59649,8
55007,4
39563,14
36870,18
40034,7
54045,-14
63516,13
40699,33
36226,-6
58526,1
40536,16
61855,1
60959,20
61993,-17
62413,-5
48615,-11
42340,-7
45770,8
59709,7
53041,3
51913,1
42983,-4
60915,-8
53210,12
47261,8
50793,-12
49754,6
41093,3
44045,4
50969,8
63454,12
55398,21
53326,8
39473,8
45997,-6
46027,-5
43555,16
53733,13
42838,8
59395,8
44093,-6
62112,12
63243,18
50202,6
65662,27
41812,30
64868,19
49418,2
60463,-6
42196,-12
64008,12
43885,-7
62153,-16
42475,-6
53310,28
53254,16
61076,15
50588,-5
36394,-7
54339,16
55027,17
50414,9
53009,10
57972,-6
53775,-29
50319,24
64826,1
56009,-9
40321,-4
46035,18
56945,12
55988,-3
41407,11
51827,-6
59889,10
39615,6
65364,23
46856,-5
61964,-5
49208,-8
48855,-11
54473,-5
48332,2
58008,-6
59385,-8
59871,21
46702,11
60512,-8
64302,10
46176,-7
45090,15
51234,5
43547,-6
54065,5
62307,23
