,NAME,TEAM,POS,AGE,GP,MPG,MP%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI,Year
0,Aaron Brooks,Ind,PG,32,65,13.7,28.6,19.2,0.17,40,0.8,172,0.424,128,0.375,0.507,5,1.1,4.3,1.9,20.7,0.38,0.14,6.4,2016
1,Aaron Gordon,Orl,SF,21,80,28.7,59.8,20.1,0.085,217,0.719,598,0.528,267,0.288,0.53,12.7,5.1,9.6,1.9,10.5,0.81,0.5,6.9,2016
2,Adreian Payne,Min,PF,25,18,7.5,15.7,23,0.114,19,0.737,39,0.513,15,0.2,0.505,3.5,1.8,14.2,0.4,8,0.44,0.39,7.3,2016
3,AJ Hammons,Dal,C,24,22,7.4,15.5,17.6,0.164,20,0.45,32,0.375,10,0.5,0.472,2.2,1.7,13.2,0.2,3.8,0.05,0.59,4.9,2016
4,Al Horford,Bos,C,30,68,32.3,67.2,19.7,0.118,135,0.8,559,0.524,242,0.355,0.553,14,6.8,11.8,5,24.4,0.76,1.26,9.7,2016
5,Al Jefferson,Ind,C,32,66,14.1,29.4,26.1,0.061,85,0.765,470,0.5,1,0,0.526,8.1,4.2,16.8,0.9,11,0.29,0.24,8.9,2016
6,Alan Anderson,Lac,SF,34,30,10.3,21.4,13.7,0.074,16,0.75,36,0.444,44,0.318,0.494,2.9,0.8,4.4,0.4,4.9,0.1,0,3.8,2016
7,Alan Williams,Pho,PF,24,47,15.1,31.4,20.9,0.105,112,0.625,266,0.519,1,0,0.547,7.4,6.2,22.3,0.5,5.2,0.57,0.68,7.5,2016
8,Alec Burks,Uta,SG,25,42,15.6,32.4,22.7,0.11,78,0.769,172,0.43,76,0.329,0.501,6.7,2.9,10.6,0.7,7.5,0.43,0.12,6.1,2016
9,Alex Abrines,Okc,SG,23,68,15.5,32.3,15.9,0.083,49,0.898,94,0.426,247,0.381,0.56,6,1.3,4.5,0.6,5.5,0.54,0.13,4.3,2016
10,Alex Len,Pho,C,23,77,20.3,42.2,17.6,0.155,208,0.721,451,0.503,12,0.25,0.553,8,6.6,17.8,0.6,4.2,0.49,1.27,6.2,2016
11,Alex Poythress,Phi,SF,23,6,26.1,54.4,17,0.049,10,0.8,35,0.543,19,0.316,0.548,10.7,4.7,9.8,0.8,5.2,0.5,0.17,5.3,2016
12,Alexis Ajinca,Nor,C,28,39,15,31.2,17.2,0.137,40,0.725,174,0.511,4,0,0.529,5.3,4.5,16,0.3,3.1,0.51,0.56,5.1,2016
13,Al-Farouq Aminu,Por,SF,26,61,29.1,60.6,15.4,0.151,136,0.706,254,0.445,213,0.329,0.505,8.7,7.4,14.1,1.6,7.9,1,0.72,6.4,2016
14,Allen Crabbe,Por,SG,24,79,28.5,59.4,14.9,0.081,124,0.847,345,0.49,302,0.444,0.602,10.7,2.8,5.5,1.2,6.1,0.68,0.25,4.6,2016
15,Alonzo Gee,Den,SF,29,13,6.9,14.3,10.4,0.182,9,0.556,11,0.273,3,0,0.306,0.8,1.2,9.3,0.5,8.2,0.38,0.08,4.5,2016
16,Amir Johnson,Bos,PF,29,80,20.1,41.9,13.5,0.157,100,0.67,304,0.612,66,0.409,0.628,6.5,4.6,12.7,1.8,13,0.64,0.78,7.5,2016
17,Anderson Varejao,Gol,C,34,14,6.6,13.7,12.6,0.298,11,0.727,14,0.357,0,0,0.478,1.3,1.9,16.1,0.7,13,0.21,0.21,7.3,2016
18,Andre Drummond,Det,C,23,81,29.7,62,22.4,0.125,355,0.386,904,0.532,7,0.286,0.518,13.6,13.8,25.2,1.1,6,1.53,1.1,8,2016
19,Andre Iguodala,Gol,SF,33,76,26.3,54.8,11.2,0.112,102,0.706,238,0.651,177,0.362,0.624,7.6,4,8.4,3.4,16.7,1,0.51,7.1,2016
20,Andre Roberson,Okc,SF,25,79,30.1,62.7,10.1,0.091,111,0.423,279,0.609,184,0.245,0.51,6.6,5.1,9.4,1,4.6,1.2,1.01,4.3,2016
21,Andrew Bogut,Dal,C,32,26,22.4,46.7,10.4,0.334,11,0.273,80,0.475,1,0,0.46,3,8.4,21.7,1.9,12.3,0.5,0.96,6.5,2016
22,Andrew Harrison,Mem,SG,22,72,20.5,42.6,16.4,0.16,194,0.763,204,0.363,156,0.276,0.477,5.9,1.9,5.3,2.8,20,0.74,0.29,6.2,2016
23,Andrew Nicholson,Was,PF,27,28,8.3,17.2,17.6,0.118,12,0.583,61,0.443,16,0.188,0.425,2.5,1.2,8.3,0.3,4.2,0.39,0.21,4.7,2016
24,Andrew Nicholson,Bro,PF,27,10,11.1,23,15.8,0.147,2,1,23,0.478,11,0.182,0.43,3,2.7,12.9,0.3,4.1,0.5,0,4.8,2016
25,Andrew Wiggins,Min,SF,21,82,37.2,77.4,29,0.094,542,0.76,1280,0.473,289,0.356,0.535,23.6,4,6.3,2.3,10.6,1,0.37,6.5,2016
26,Anthony Bennett,Bro,PF,23,23,11.5,23.9,19.4,0.1,36,0.722,44,0.568,48,0.271,0.533,5,3.4,15.6,0.5,7.1,0.22,0.13,7.1,2016
27,Anthony Brown,Nor,SF,24,9,15.8,33,14.3,0.109,0,0,17,0.471,24,0.25,0.415,3.8,2.9,9.6,0.7,5.9,0.56,0.11,5,2016
28,Anthony Brown,Orl,SF,24,2,8.3,17.2,26.7,0.1,0,0,6,0.5,3,0.333,0.5,4.5,3.5,23.1,1,22,0,0,12.1,2016
29,Anthony Davis,Nor,C,23,75,36.1,75.2,32.6,0.091,647,0.802,1391,0.525,134,0.299,0.58,28,11.8,17.2,2.1,11.2,1.27,2.21,9.8,2016
30,Anthony Morrow,Okc,SG,31,40,15.7,32.6,16.3,0.025,26,0.885,104,0.49,119,0.294,0.491,5.8,0.7,2.6,0.5,4.5,0.55,0.05,3.2,2016
31,Anthony Morrow,Chi,SG,31,9,9.7,20.2,16.9,0,11,1,15,0.4,14,0.429,0.606,4.6,0.2,1.2,0.7,10.4,0.22,0,3.6,2016
32,Anthony Tolliver,Sac,PF,31,65,22.7,47.3,13.6,0.126,82,0.744,121,0.537,230,0.391,0.595,7.1,3.6,9.3,1.2,7.7,0.52,0.31,5.5,2016
33,Archie Goodwin,Bro,SG,22,12,15.4,32,20.7,0.157,32,0.719,48,0.625,13,0.308,0.633,7.9,2.3,8,1.9,20.8,0.33,0.33,8.5,2016
34,Aron Baynes,Det,C,30,75,15.5,32.3,14.1,0.135,94,0.84,279,0.513,0,0,0.57,4.9,4.4,15.6,0.4,3.9,0.23,0.52,5.3,2016
35,Arron Afflalo,Sac,SG,31,61,25.9,54,14.4,0.084,93,0.892,269,0.457,151,0.411,0.559,8.4,2,4.6,1.3,7.4,0.34,0.11,4.3,2016
36,Austin Rivers,Lac,SG,24,74,27.8,57.8,20.3,0.124,191,0.691,432,0.491,299,0.371,0.545,12,2.2,4.4,2.8,15,0.65,0.14,6,2016
37,Avery Bradley,Bos,SG,26,55,33.4,69.5,21.9,0.097,93,0.731,498,0.504,277,0.39,0.548,16.3,6.1,10.1,2.2,11,1.24,0.2,7.2,2016
38,Ben McLemore,Sac,SG,23,61,19.3,40.2,20.1,0.12,93,0.753,249,0.462,170,0.382,0.538,8.1,2.1,6.3,0.8,6.9,0.48,0.1,4.9,2016
39,Beno Udrih,Det,PG,34,39,14.4,29.9,19.6,0.145,34,0.941,165,0.491,32,0.344,0.535,5.8,1.5,5.6,3.4,35.4,0.33,0,8.6,2016
