,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
0,1631260,AJ Green,AJ,1610612749,MIL,26.0,10,6,4,0.6,27.7,3.5,6.9,0.507,3.0,6.4,0.469,0.7,1.1,0.636,0.1,2.2,2.3,1.8,1.0,0.4,0.1,0.0,3.5,1.2,10.7,3.2,16.7,0,0,18.8,22,41,150,157,123,178,196,131,18,44,56,281,268,313,396,220,274,200,207,301,315,343,20,234,160,104,229,106,8,189,1
1,1642358,AJ Johnson,AJ,1610612764,WAS,20.0,7,0,7,0.0,5.0,0.3,1.4,0.2,0.0,0.3,0.0,0.4,0.6,0.75,0.3,0.3,0.6,0.6,0.1,0.0,0.0,0.6,0.4,0.4,1.0,-1.9,2.4,0,0,2.1,265,419,26,419,409,429,404,429,356,392,356,326,341,220,351,417,414,356,406,382,327,113,415,358,420,284,433,106,8,435,1
2,203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,8,6,2,0.75,29.5,6.6,12.1,0.546,2.4,5.1,0.463,4.5,4.9,0.923,0.9,4.5,5.4,1.6,1.6,0.9,0.1,0.3,1.5,3.8,20.1,8.0,30.4,0,0,31.5,223,41,298,75,98,52,87,98,49,84,59,43,51,56,197,64,94,218,127,149,289,252,278,55,43,33,86,106,8,70,1
3,1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,4,4,0,1.0,6.6,1.0,1.8,0.571,0.5,1.0,0.5,0.8,0.8,1.0,0.0,0.8,0.8,1.0,1.0,0.0,0.0,0.0,0.8,0.8,3.3,-0.3,4.7,0,0,5.5,362,176,426,1,384,337,386,78,274,316,23,271,312,1,402,376,399,289,207,382,327,343,372,305,333,218,393,106,8,368,1
4,1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,9,1,8,0.111,31.4,5.1,13.8,0.371,2.9,7.9,0.366,2.8,3.7,0.758,1.8,2.9,4.7,1.0,0.9,0.8,0.2,1.0,2.4,3.3,15.9,-3.2,25.1,0,0,26.4,122,348,19,395,68,106,59,350,24,22,160,81,80,215,68,168,129,289,237,178,220,23,111,70,82,331,130,106,8,107,1
5,1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,9,8,1,0.889,27.6,5.7,12.3,0.459,2.8,6.7,0.417,0.7,1.0,0.667,1.0,2.7,3.7,2.2,1.0,0.4,0.8,0.4,2.2,0.7,14.8,10.0,25.2,0,0,25.9,122,7,371,35,124,82,80,230,27,38,95,284,270,281,145,187,183,165,207,281,68,157,148,315,98,16,127,106,8,111,1
6,1642846,Ace Bailey,Ace,1610612762,UTA,19.0,9,3,6,0.333,18.4,2.2,6.6,0.339,0.4,2.1,0.211,1.0,1.1,0.9,1.7,1.7,3.3,1.6,1.3,0.3,0.1,0.3,1.8,1.1,5.9,-10.9,12.2,0,0,12.1,122,232,55,308,239,259,206,373,282,247,321,228,266,79,78,268,204,223,164,321,302,201,233,247,269,442,286,106,8,284,1
7,1641737,Adem Bona,Adem,1610612755,PHI,22.0,10,6,4,0.6,15.3,0.7,1.7,0.412,0.0,0.1,0.0,0.8,1.4,0.571,1.3,1.9,3.2,0.3,0.7,0.5,1.7,0.2,1.6,1.2,2.2,-1.4,12.4,0,0,10.1,22,41,150,157,284,383,391,304,356,403,356,263,232,337,114,245,213,394,272,253,11,272,262,234,374,268,284,106,8,302,1
8,1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,11,10,1,0.909,28.0,6.1,13.2,0.462,1.3,3.6,0.35,3.7,4.0,0.932,0.9,3.1,4.0,4.1,1.6,1.8,0.2,0.6,2.5,3.6,17.2,9.9,32.5,1,0,30.5,1,1,371,30,118,68,70,223,156,163,182,58,69,55,188,151,154,59,126,15,259,97,110,59,71,17,72,59,8,81,1
9,201143,Al Horford,Al,1610612744,GSW,39.0,7,4,3,0.571,21.4,2.1,6.1,0.349,1.3,4.3,0.3,0.0,0.0,0.0,1.0,3.4,4.4,1.3,1.6,0.6,0.9,0.3,1.9,0.4,5.6,-4.0,15.5,0,0,15.4,265,176,222,192,204,263,217,368,153,127,251,384,393,384,145,124,138,268,131,236,62,243,223,358,276,355,246,106,8,239,1
